name,address,area,city,pincode,phone,rating,reviews,category,dealer_type,source,source_url
Battery Wala.Com,"Crossing Republik, Ghaziabad",Crossing Republik,Delhi,201016,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Ghaziabad/Battery-WalaCom-Opposite-Divyansh-Fabio-Crossing-Republik/011PXX11-XX11-221202110338-T5C5_BZDET
Sharma Battery,"Near Indian Bank, Udyog Vihar Gurgaon, Gurgaon",Udyog Vihar Gurgaon,Delhi,122016,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Gurgaon/Sharma-Battery-Udyog-Vihar-Gurgaon/011PXX11-XX11-140819134047-V9D6_BZDET
R S Battery Wholesaler,"Sheetla Mata Road,Part -6, Gurgaon Sector 5, Gurgaon",Gurgaon Sector 5,Delhi,122001,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Gurgaon/R-S-Battery-Wholesaler-Opposite-Bharat-Petrol-Pump-Gurgaon-Sector-5/011PXX11-XX11-211111151724-N2B9_BZDET
Royal Batteries,"Parwana Road, Jagat Puri, Delhi",Jagat Puri,Delhi,110051,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Delhi/Royal-Batteries-Opposite-292-Gagan-Vihar-Jagat-Puri/011PXX11-XX11-101215152501-I2U7_BZDET
Aalam Mart,"Kalindi Road, Jamia Nagar, Delhi",Jamia Nagar,Delhi,110025,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Delhi/Aalam-Mart-Alam-Nahari-Jamia-Nagar/011PXX11-XX11-190402133942-W9N1_BZDET
Krishna Electrical,"Huda Market, Gurgaon, Gurgaon",Gurgaon,Delhi,122001,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Gurgaon/Krishna-Electrical-Near-Anshu-Dairy-Gurgaon/011PXX11-XX11-250821160524-R2V9_BZDET
Gujral Auto,"Noida Sector 15, Noida",Noida Sector 15,Delhi,201301,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Noida/Gujral-Auto-Near-Sangam-Gest-House-Noida-Sector-15/011PXX11-XX11-190903101658-V9Y4_BZDET
Roshni Electrical,"Milap Nagar., Uttam Nagar, Delhi",Uttam Nagar,Delhi,110059,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Delhi/Roshni-Electrical-Near-Himalaya-Sagar-Uttam-Nagar/011PK019669_BZDET
Acr Power Solutions,"Near Tagri Gol Chakkar, Ghaziabad City, Ghaziabad",Ghaziabad City,Delhi,201009,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Ghaziabad/Acr-Power-Solutions-OPP-SHRI-RAGHUNATH-SINGH-INTER-COLLAGE-Ghaziabad-City/011PXX11-XX11-210605221505-A4J2_BZDET
Hari Om Enterprises,"Main Road New Kondli, Mayur Vihar Phase 3, Delhi",Mayur Vihar Phase 3,Delhi,110096,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Delhi/Hari-Om-Enterprises-Near-Vanasthali-Public-School-Mayur-Vihar-Phase-3/011PXX11-XX11-151020120754-R1X8_BZDET
Siya Ram Car Accessories - Gurgaon,"Dwarka Expressway Pillar No-60, Gurgaon, New Palam Vihar, Gurgaon",New Palam Vihar,Delhi,122017,,,,Car Battery Dealers,battery,justdial,https://www.justdial.com/Gurgaon/Siya-Ram-Car-Accessories-Gurgaon-Near-Conscient-One-Mall-New-Palam-Vihar/011PXX11-XX11-251025165031-F3H4_BZDET
Gold Star Battery and Inverter,"Noida Sector 141, Noida",Noida Sector 141,Delhi,201305,,,,Car Battery Dealers,battery,justdial,https://www.justdial.com/Noida/Gold-Star-Battery-And-Inverter-Noida-Sector-141/011PXX11-XX11-241114160952-K7A6_BZDET
Prince Generators Private Limited,"Karnal Bypass Road, Sanjay Gandhi Transport Nagar, Delhi",Sanjay Gandhi Transport Nagar,Delhi,110042,,,,Car Battery Dealers,battery,justdial,https://www.justdial.com/Delhi/Prince-Generators-Private-Limited-Near-SBI-Bank-Sanjay-Gandhi-Transport-Nagar/011PXX11-XX11-251110183114-X9X5_BZDET
Gobind Batteries & Inverter,"Rohini Sector 7, Delhi",Rohini Sector 7,Delhi,110085,,,,Car Battery Dealers,battery,justdial,https://www.justdial.com/Delhi/Gobind-Batteries-Inverter-OPP-Metro-Pillar-No-402-Rohini-Sector-7/011PXX11-XX11-201117133823-W7C6_BZDET
Sharma Tyre and Battery,"Malka Ganj Chowk, Malka Ganj, Delhi",Malka Ganj,Delhi,110007,,,,Car Battery Dealers,battery,justdial,https://www.justdial.com/Delhi/Sharma-Tyre-And-Battery-Near-Hansraj-College-and-Ndpl-Transformer-Malka-Ganj/011PXX11-XX11-240127123646-T9M9_BZDET
Mcn Batteries,"Rani Bagh Main Road, Pitampura, Delhi",Pitampura,Delhi,110034,,,,Car Battery Dealers,battery,justdial,https://www.justdial.com/Delhi/Mcn-Batteries-Main-Road-Rani-Bag-Pitampura/011PXX11-XX11-110401170134-I2H8_BZDET
Aggarwal Store,"ONGC Colony, Noida",ONGC Colony,Delhi,201301,,,,Car Battery Dealers,battery,justdial,https://www.justdial.com/Noida/Aggarwal-Store-Opposite-Dominoz-Pizza-ONGC-Colony/011PXX11-XX11-210705132851-I8P9_BZDET
Taneja Tyre & Batteries,"Paschim Vihar, Delhi",Paschim Vihar,Delhi,110063,,,,Car Battery Dealers,battery,justdial,https://www.justdial.com/Delhi/Taneja-Tyre-Batteries-Near-Gurudwara-G-D-Goenka-School-Paschim-Vihar/011PXX11-XX11-120206102833-I5Y3_BZDET
Bhalla Batteries,"Dlf City Phase 1, Gurgaon",Dlf City Phase 1,Delhi,122002,,,,Inverter Battery Dealers,battery,justdial,https://www.justdial.com/Gurgaon/Bhalla-Batteries-Opposite-IDBI-Bank-and-Sikanderpur-Metro-Station-Pillar-Number-53-Dlf-City-Phase-1/011PXX11-XX11-121110202032-F3F8_BZDET
Greno Solar,"Sector Pie 1, Greater Noida, Greater Noida",Greater Noida,Delhi,201310,,,,Inverter Battery Dealers,battery,justdial,https://www.justdial.com/Greater-Noida/Greno-Solar-Near-Unitech-Horizon-Road-Greater-Noida/011PXX11-XX11-240405140317-I8D5_BZDET
Rahul Battery & Inverter,"Shop No- 303, Dwarka Sector 13, Dwarka Sector 13, Delhi",Dwarka Sector 13,Delhi,110078,,,,Inverter Battery Dealers,battery,justdial,https://www.justdial.com/Delhi/Rahul-Battery-Inverter-Near-Nsit-College-Dwarka-Sector-13/011PXX11-XX11-150414183758-K5M7_BZDET
Paras Batteries,"Shiv Puri Part -1,Goyla Road, Najafgarh, Delhi",Najafgarh,Delhi,110043,,,,Inverter Battery Dealers,battery,justdial,https://www.justdial.com/Delhi/Paras-Batteries-Near-By-Bachat-Bazaar-Najafgarh/011PXX11-XX11-220319114007-X3V4_BZDET
Jagdambey Battery House,"Sector 10 Gurgaon, Khandsa Road, Gurgaon",Khandsa Road,Delhi,122001,,,,Inverter Battery Dealers,battery,justdial,https://www.justdial.com/Gurgaon/Jagdambey-Battery-House-Khandsa-Road/011PXX11-XX11-250331194731-P7Y1_BZDET
Selekt Battery Store,"Vijay Nagar, Delhi",Vijay Nagar,Delhi,110009,,,,Inverter Battery Dealers,battery,justdial,https://www.justdial.com/Delhi/Selekt-Battery-Store-Near-By-Police-Line-Quarter-Vijay-Nagar/011PYO00007_BZDET
Om Sai Inverters & Batteries,"Som Bazar Road, Om Vihar Phase 3, Delhi",Om Vihar Phase 3,Delhi,110059,,,,Inverter Battery Dealers,battery,justdial,https://www.justdial.com/Delhi/Om-Sai-Inverters-Batteries-Near-Neat-R-M-Model-School-Om-Vihar-Phase-3/011PXX11-XX11-200724141318-S1P9_BZDET
Ak battery house,"Main Market Sultanpur, Sultanpur, Delhi",Sultanpur,Delhi,110030,,,,Inverter Battery Dealers,battery,justdial,https://www.justdial.com/Delhi/Ak-Battery-House-Near-By-Surendar-Ki-Chakki-Sultanpur/011PXX11-XX11-250529191428-E7W3_BZDET
Exide Care A K Traders,"DDA Flats, Ghazipur, Delhi",Ghazipur,Delhi,110096,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Delhi/Exide-Care-A-K-Traders-Ghazipur/011PBE05616_BZDET
Sachdeva Traders,"Mb Road Khanpur, Khanpur, Delhi",Khanpur,Delhi,110062,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Delhi/Sachdeva-Traders-Nr-Ambedkar-Nagar-Bus-Depot-Khanpur/011PXX11-XX11-220214222025-W6E3_BZDET
Saxena and Sons Associates,"Sector 9, Vijay Nagar Ghaziabad, Ghaziabad",Vijay Nagar Ghaziabad,Delhi,201009,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Ghaziabad/Saxena-And-Sons-Associates-Near-Water-Tank-Vijay-Nagar-Ghaziabad/011PXX11-XX11-240507120523-K9E3_BZDET
Aarshal Inverter Battery,"Duhai, Muradnagar",Duhai,Delhi,201206,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Muradnagar/Aarshal-Inverter-Battery-Duhai/011PXX11-XX11-250521125213-F1K4_BZDET
