name,address,area,city,pincode,phone,rating,reviews,category,dealer_type,source,source_url
Shah Electronics,"15, NA, Narasingapuramstreet",Chintadripet,Chennai,600002,,4.2,13,Maxine DC 12V Analog Battery Charger,charger,indiamart,https://www.indiamart.com/proddetail/maxine-dc-12v-analog-battery-charger-2850707821473.html
Dimension Digital Controlls Pvt Ltd,"46th Cross, Jayanagar, Bangalore",Jayanagar,Bangalore,560041,,,,Electric Vehicle Battery Charger Dealers,charger,justdial,https://www.justdial.com/Bangalore/Dimension-Digital-Controlls-Pvt-Ltd-Near-Metro-Piller-No-26-Jayanagar/080P1215069557Z7H7J3_BZDET
Micronix,"PEENYA INDUSTRIAL AREA, Peenya 3rd Stage, Bangalore",Peenya 3rd Stage,Bangalore,560058,,,,Electric Vehicle Battery Charger Dealers,charger,justdial,https://www.justdial.com/Bangalore/Micronix-Near-Bhutter-Hotel-Peenya-3rd-Stage/080PXX80-XX80-170319183022-E9R7_BZDET
Abhaya Anjaneya & Co,"Dadanapura Village Dasanapura Hobli, Nelamangala, Bangalore",Nelamangala,Bangalore,562123,,,,Electric Vehicle Battery Charger Dealers,charger,justdial,https://www.justdial.com/Bangalore/Abhaya-Anjaneya-Co-Near-Sub-Register-Office-Devayanna-Palya-Nelamangala/080PXX80-XX80-220105110348-R3W1_BZDET
EVJAZZ MOBILITY SOLUTION PVT LTD,"9th B Main Road Bansawdi, Banaswadi, Bangalore",Banaswadi,Bangalore,560043,,,,Electric Vehicle Battery Charger Dealers,charger,justdial,https://www.justdial.com/Bangalore/EVJAZZ-MOBILITY-SOLUTION-PVT-LTD-Near-to-Bharath-Petrol-Bunk-Banaswadi/080PXX80-XX80-241224183302-B4S1_BZDET
Bolt Earth,"17th Cross Road, 24th Main,17th Cross Road, 24th Main, HSR Layout Sector 1, Bangalore",HSR Layout Sector 1,Bangalore,560102,,,,Electric Vehicle Battery Charger Dealers,charger,justdial,https://www.justdial.com/Bangalore/Bolt-Earth-Near-Starbucks-CoffeeNear-Starbucks-Coffee-HSR-Layout-Sector-1/080PXX80-XX80-220308191136-X7T4_BZDET
EV Galaxy ( Pv Enterprises),"1st Main Road, Widia Layout, Attiguppe , Vijayanagar, Bangalore",Vijayanagar,Bangalore,560040,,,,Electric Vehicle Battery Charger Dealers,charger,justdial,https://www.justdial.com/Bangalore/EV-Galaxy-Pv-Enterprises-Vijayanagar/080PXX80-XX80-230207163955-S4N3_BZDET
Praveen Marketing,"2nd Cross, Sp Road, Bangalore",Sp Road,Bangalore,560002,,,,Electric Vehicle Battery Charger Dealers,charger,justdial,https://www.justdial.com/Bangalore/Praveen-Marketing-SJP-Road-Prak-Sp-Road/080PXX80-XX80-111117161128-E4R7_BZDET
S K Battery & Auto Electricals,"50 Feet Road, Jp Nagar, Bangalore",Jp Nagar,Bangalore,560078,,,,Electric Vehicle Battery Charger Dealers,charger,justdial,https://www.justdial.com/Bangalore/S-K-Battery-Auto-Electricals-Near-15F-Bustop-Jp-Nagar/080PXX80-XX80-180804181902-P7X7_BZDET
Accor Motors,"Bannergatta Road, Gottigere, Bangalore",Gottigere,Bangalore,560083,,,,Electric Vehicle Battery Charger Dealers,charger,justdial,https://www.justdial.com/Bangalore/Accor-Motors-Opposite-D-Mart-Gottigere/080PXX80-XX80-230519155614-G1V5_BZDET
